0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
61.10484,61.31627,60.48388,60.53589,61.51913,64.03558,63.65099,64.86698,64.94839,64.4272,64.29746,62.96661,62.50253,62.0557,62.46726,62.48828,63.86058,63.23032,63.15596,62.67748,62.97365,61.93652,61.66758,57.72434,176.6561,203.54746,176.5983,179.1242,167.64595,138.52943,107.10633,106.43868,105.83613,105.37489,105.15821,105.03884,105.41903,106.74805,105.62075,105.47229,105.3135,101.17881,101.38271,101.70892,102.01707,101.48216,121.55037,106.83676
61.10484,61.31627,60.48388,60.53589,61.51913,64.03558,63.65099,64.86698,64.94839,64.4272,64.29746,62.96661,62.50253,62.0557,62.46726,62.48828,63.86058,63.23032,63.15596,62.67748,62.97365,61.93652,61.66758,57.72434,176.6561,203.54746,176.5983,179.1242,167.64595,138.52943,107.10633,106.43868,105.83613,105.37489,105.15821,105.03884,105.41903,106.74805,105.62075,105.47229,105.3135,101.17881,101.38271,101.70892,102.01707,101.48216,121.55037,106.83676
61.10484,61.31627,60.48388,60.53589,61.51913,64.03558,63.65099,64.86698,64.94839,64.4272,64.29746,62.96661,62.50253,62.0557,62.46726,62.48828,63.86058,63.23032,63.15596,62.67748,62.97365,61.93652,61.66758,57.72434,176.6561,203.54746,176.5983,179.1242,167.64595,138.52943,107.10633,106.43868,105.83613,105.37489,105.15821,105.03884,105.41903,106.74805,105.62075,105.47229,105.3135,101.17881,101.38271,101.70892,102.01707,101.48216,121.55037,106.83676
61.10484,61.31627,60.48388,60.53589,61.51913,64.03558,63.65099,64.86698,64.94839,64.4272,64.29746,62.96661,62.50253,62.0557,62.46726,62.48828,63.86058,63.23032,63.15596,62.67748,62.97365,61.93652,61.66758,57.72434,176.6561,203.54746,176.5983,179.1242,167.64595,138.52943,107.10633,106.43868,105.83613,105.37489,105.15821,105.03884,105.41903,106.74805,105.62075,105.47229,105.3135,101.17881,101.38271,101.70892,102.01707,101.48216,121.55037,106.83676
61.10484,61.31627,60.48388,60.53589,61.51913,64.03558,63.65099,64.86698,64.94839,64.4272,64.29746,62.96661,62.50253,62.0557,62.46726,62.48828,63.86058,63.23032,63.15596,62.67748,62.97365,61.93652,61.66758,57.72434,176.6561,203.54746,176.5983,179.1242,167.64595,138.52943,107.10633,106.43868,105.83613,105.37489,105.15821,105.03884,105.41903,106.74805,105.62075,105.47229,105.3135,101.17881,101.38271,101.70892,102.01707,101.48216,121.55037,106.83676
61.10484,61.31627,60.48388,60.53589,61.51913,64.03558,63.65099,64.86698,64.94839,64.4272,64.29746,62.96661,62.50253,62.0557,62.46726,62.48828,63.86058,63.23032,63.15596,62.67748,62.97365,61.93652,61.66758,57.72434,176.6561,203.54746,176.5983,179.1242,167.64595,138.52943,107.10633,106.43868,105.83613,105.37489,105.15821,105.03884,105.41903,106.74805,105.62075,105.47229,105.3135,101.17881,101.38271,101.70892,102.01707,101.48216,121.55037,106.83676
61.10484,61.31627,60.48388,60.53589,61.51913,64.03558,63.65099,64.86698,64.94839,64.4272,64.29746,62.96661,62.50253,62.0557,62.46726,62.48828,63.86058,63.23032,63.15596,62.67748,62.97365,61.93652,61.66758,57.72434,176.6561,203.54746,176.5983,179.1242,167.64595,138.52943,107.10633,106.43868,105.83613,105.37489,105.15821,105.03884,105.41903,106.74805,105.62075,105.47229,105.3135,101.17881,101.38271,101.70892,102.01707,101.48216,121.55037,106.83676
61.10484,61.31627,60.48388,60.53589,61.51913,64.03558,63.65099,64.86698,64.94839,64.4272,64.29746,62.96661,62.50253,62.0557,62.46726,62.48828,63.86058,63.23032,63.15596,62.67748,62.97365,61.93652,61.66758,57.72434,176.6561,203.54746,176.5983,179.1242,167.64595,138.52943,107.10633,106.43868,105.83613,105.37489,105.15821,105.03884,105.41903,106.74805,105.62075,105.47229,105.3135,101.17881,101.38271,101.70892,102.01707,101.48216,121.55037,106.83676
61.10484,61.31627,60.48388,60.53589,61.51913,64.03558,63.65099,64.86698,64.94839,64.4272,64.29746,62.96661,62.50253,62.0557,62.46726,62.48828,63.86058,63.23032,63.15596,62.67748,62.97365,61.93652,61.66758,57.72434,176.6561,203.54746,176.5983,179.1242,167.64595,138.52943,107.10633,106.43868,105.83613,105.37489,105.15821,105.03884,105.41903,106.74805,105.62075,105.47229,105.3135,101.17881,101.38271,101.70892,102.01707,101.48216,121.55037,106.83676
61.10484,61.31627,60.48388,60.53589,61.51913,64.03558,63.65099,64.86698,64.94839,64.4272,64.29746,62.96661,62.50253,62.0557,62.46726,62.48828,63.86058,63.23032,63.15596,62.67748,62.97365,61.93652,61.66758,57.72434,176.6561,203.54746,176.5983,179.1242,167.64595,138.52943,107.10633,106.43868,105.83613,105.37489,105.15821,105.03884,105.41903,106.74805,105.62075,105.47229,105.3135,101.17881,101.38271,101.70892,102.01707,101.48216,121.55037,106.83676
61.10484,61.31627,60.48388,60.53589,61.51913,64.03558,63.65099,64.86698,64.94839,64.4272,64.29746,62.96661,62.50253,62.0557,62.46726,62.48828,63.86058,63.23032,63.15596,62.67748,62.97365,61.93652,61.66758,57.72434,176.6561,203.54746,176.5983,179.1242,167.64595,138.52943,107.10633,106.43868,105.83613,105.37489,105.15821,105.03884,105.41903,106.74805,105.62075,105.47229,105.3135,101.17881,101.38271,101.70892,102.01707,101.48216,121.55037,106.83676
61.10484,61.31627,60.48388,60.53589,61.51913,64.03558,63.65099,64.86698,64.94839,64.4272,64.29746,62.96661,62.50253,62.0557,62.46726,62.48828,63.86058,63.23032,63.15596,62.67748,62.97365,61.93652,61.66758,57.72434,176.6561,203.54746,176.5983,179.1242,167.64595,138.52943,107.10633,106.43868,105.83613,105.37489,105.15821,105.03884,105.41903,106.74805,105.62075,105.47229,105.3135,101.17881,101.38271,101.70892,102.01707,101.48216,121.55037,106.83676
61.10484,61.31627,60.48388,60.53589,61.51913,64.03558,63.65099,64.86698,64.94839,64.4272,64.29746,62.96661,62.50253,62.0557,62.46726,62.48828,63.86058,63.23032,63.15596,62.67748,62.97365,61.93652,61.66758,57.72434,176.6561,203.54746,176.5983,179.1242,167.64595,138.52943,107.10633,106.43868,105.83613,105.37489,105.15821,105.03884,105.41903,106.74805,105.62075,105.47229,105.3135,101.17881,101.38271,101.70892,102.01707,101.48216,121.55037,106.83676
61.10484,61.31627,60.48388,60.53589,61.51913,64.03558,63.65099,64.86698,64.94839,64.4272,64.29746,62.96661,62.50253,62.0557,62.46726,62.48828,63.86058,63.23032,63.15596,62.67748,62.97365,61.93652,61.66758,57.72434,176.6561,203.54746,176.5983,179.1242,167.64595,138.52943,107.10633,106.43868,105.83613,105.37489,105.15821,105.03884,105.41903,106.74805,105.62075,105.47229,105.3135,101.17881,101.38271,101.70892,102.01707,101.48216,121.55037,106.83676
61.10484,61.31627,60.48388,60.53589,61.51913,64.03558,63.65099,64.86698,64.94839,64.4272,64.29746,62.96661,62.50253,62.0557,62.46726,62.48828,63.86058,63.23032,63.15596,62.67748,62.97365,61.93652,61.66758,57.72434,176.6561,203.54746,176.5983,179.1242,167.64595,138.52943,107.10633,106.43868,105.83613,105.37489,105.15821,105.03884,105.41903,106.74805,105.62075,105.47229,105.3135,101.17881,101.38271,101.70892,102.01707,101.48216,121.55037,106.83676
61.10484,61.31627,60.48388,60.53589,61.51913,64.03558,63.65099,64.86698,64.94839,64.4272,64.29746,62.96661,62.50253,62.0557,62.46726,62.48828,63.86058,63.23032,63.15596,62.67748,62.97365,61.93652,61.66758,57.72434,176.6561,203.54746,176.5983,179.1242,167.64595,138.52943,107.10633,106.43868,105.83613,105.37489,105.15821,105.03884,105.41903,106.74805,105.62075,105.47229,105.3135,101.17881,101.38271,101.70892,102.01707,101.48216,121.55037,106.83676
61.10484,61.31627,60.48388,60.53589,61.51913,64.03558,63.65099,64.86698,64.94839,64.4272,64.29746,62.96661,62.50253,62.0557,62.46726,62.48828,63.86058,63.23032,63.15596,62.67748,62.97365,61.93652,61.66758,57.72434,176.6561,203.54746,176.5983,179.1242,167.64595,138.52943,107.10633,106.43868,105.83613,105.37489,105.15821,105.03884,105.41903,106.74805,105.62075,105.47229,105.3135,101.17881,101.38271,101.70892,102.01707,101.48216,121.55037,106.83676
61.10484,61.31627,60.48388,60.53589,61.51913,64.03558,63.65099,64.86698,64.94839,64.4272,64.29746,62.96661,62.50253,62.0557,62.46726,62.48828,63.86058,63.23032,63.15596,62.67748,62.97365,61.93652,61.66758,57.72434,176.6561,203.54746,176.5983,179.1242,167.64595,138.52943,107.10633,106.43868,105.83613,105.37489,105.15821,105.03884,105.41903,106.74805,105.62075,105.47229,105.3135,101.17881,101.38271,101.70892,102.01707,101.48216,121.55037,106.83676
61.10484,61.31627,60.48388,60.53589,61.51913,64.03558,63.65099,64.86698,64.94839,64.4272,64.29746,62.96661,62.50253,62.0557,62.46726,62.48828,63.86058,63.23032,63.15596,62.67748,62.97365,61.93652,61.66758,57.72434,176.6561,203.54746,176.5983,179.1242,167.64595,138.52943,107.10633,106.43868,105.83613,105.37489,105.15821,105.03884,105.41903,106.74805,105.62075,105.47229,105.3135,101.17881,101.38271,101.70892,102.01707,101.48216,121.55037,106.83676
61.10484,61.31627,60.48388,60.53589,61.51913,64.03558,63.65099,64.86698,64.94839,64.4272,64.29746,62.96661,62.50253,62.0557,62.46726,62.48828,63.86058,63.23032,63.15596,62.67748,62.97365,61.93652,61.66758,57.72434,176.6561,203.54746,176.5983,179.1242,167.64595,138.52943,107.10633,106.43868,105.83613,105.37489,105.15821,105.03884,105.41903,106.74805,105.62075,105.47229,105.3135,101.17881,101.38271,101.70892,102.01707,101.48216,121.55037,106.83676
61.10484,61.31627,60.48388,60.53589,61.51913,64.03558,63.65099,64.86698,64.94839,64.4272,64.29746,62.96661,62.50253,62.0557,62.46726,62.48828,63.86058,63.23032,63.15596,62.67748,62.97365,61.93652,61.66758,57.72434,176.6561,203.54746,176.5983,179.1242,167.64595,138.52943,107.10633,106.43868,105.83613,105.37489,105.15821,105.03884,105.41903,106.74805,105.62075,105.47229,105.3135,101.17881,101.38271,101.70892,102.01707,101.48216,121.55037,106.83676
61.10484,61.31627,60.48388,60.53589,61.51913,64.03558,63.65099,64.86698,64.94839,64.4272,64.29746,62.96661,62.50253,62.0557,62.46726,62.48828,63.86058,63.23032,63.15596,62.67748,62.97365,61.93652,61.66758,57.72434,176.6561,203.54746,176.5983,179.1242,167.64595,138.52943,107.10633,106.43868,105.83613,105.37489,105.15821,105.03884,105.41903,106.74805,105.62075,105.47229,105.3135,101.17881,101.38271,101.70892,102.01707,101.48216,121.55037,106.83676
61.10484,61.31627,60.48388,60.53589,61.51913,64.03558,63.65099,64.86698,64.94839,64.4272,64.29746,62.96661,62.50253,62.0557,62.46726,62.48828,63.86058,63.23032,63.15596,62.67748,62.97365,61.93652,61.66758,57.72434,176.6561,203.54746,176.5983,179.1242,167.64595,138.52943,107.10633,106.43868,105.83613,105.37489,105.15821,105.03884,105.41903,106.74805,105.62075,105.47229,105.3135,101.17881,101.38271,101.70892,102.01707,101.48216,121.55037,106.83676
61.10484,61.31627,60.48388,60.53589,61.51913,64.03558,63.65099,64.86698,64.94839,64.4272,64.29746,62.96661,62.50253,62.0557,62.46726,62.48828,63.86058,63.23032,63.15596,62.67748,62.97365,61.93652,61.66758,57.72434,176.6561,203.54746,176.5983,179.1242,167.64595,138.52943,107.10633,106.43868,105.83613,105.37489,105.15821,105.03884,105.41903,106.74805,105.62075,105.47229,105.3135,101.17881,101.38271,101.70892,102.01707,101.48216,121.55037,106.83676
61.10484,61.31627,60.48388,60.53589,61.51913,64.03558,63.65099,64.86698,64.94839,64.4272,64.29746,62.96661,62.50253,62.0557,62.46726,62.48828,63.86058,63.23032,63.15596,62.67748,62.97365,61.93652,61.66758,57.72434,176.6561,203.54746,176.5983,179.1242,167.64595,138.52943,107.10633,106.43868,105.83613,105.37489,105.15821,105.03884,105.41903,106.74805,105.62075,105.47229,105.3135,101.17881,101.38271,101.70892,102.01707,101.48216,121.55037,106.83676
61.10484,61.31627,60.48388,60.53589,61.51913,64.03558,63.65099,64.86698,64.94839,64.4272,64.29746,62.96661,62.50253,62.0557,62.46726,62.48828,63.86058,63.23032,63.15596,62.67748,62.97365,61.93652,61.66758,57.72434,176.6561,203.54746,176.5983,179.1242,167.64595,138.52943,107.10633,106.43868,105.83613,105.37489,105.15821,105.03884,105.41903,106.74805,105.62075,105.47229,105.3135,101.17881,101.38271,101.70892,102.01707,101.48216,121.55037,106.83676
61.10484,61.31627,60.48388,60.53589,61.51913,64.03558,63.65099,64.86698,64.94839,64.4272,64.29746,62.96661,62.50253,62.0557,62.46726,62.48828,63.86058,63.23032,63.15596,62.67748,62.97365,61.93652,61.66758,57.72434,176.6561,203.54746,176.5983,179.1242,167.64595,138.52943,107.10633,106.43868,105.83613,105.37489,105.15821,105.03884,105.41903,106.74805,105.62075,105.47229,105.3135,101.17881,101.38271,101.70892,102.01707,101.48216,121.55037,106.83676
61.10484,61.31627,60.48388,60.53589,61.51913,64.03558,63.65099,64.86698,64.94839,64.4272,64.29746,62.96661,62.50253,62.0557,62.46726,62.48828,63.86058,63.23032,63.15596,62.67748,62.97365,61.93652,61.66758,57.72434,176.6561,203.54746,176.5983,179.1242,167.64595,138.52943,107.10633,106.43868,105.83613,105.37489,105.15821,105.03884,105.41903,106.74805,105.62075,105.47229,105.3135,101.17881,101.38271,101.70892,102.01707,101.48216,121.55037,106.83676
61.10484,61.31627,60.48388,60.53589,61.51913,64.03558,63.65099,64.86698,64.94839,64.4272,64.29746,62.96661,62.50253,62.0557,62.46726,62.48828,63.86058,63.23032,63.15596,62.67748,62.97365,61.93652,61.66758,57.72434,176.6561,203.54746,176.5983,179.1242,167.64595,138.52943,107.10633,106.43868,105.83613,105.37489,105.15821,105.03884,105.41903,106.74805,105.62075,105.47229,105.3135,101.17881,101.38271,101.70892,102.01707,101.48216,121.55037,106.83676
61.10484,61.31627,60.48388,60.53589,61.51913,64.03558,63.65099,64.86698,64.94839,64.4272,64.29746,62.96661,62.50253,62.0557,62.46726,62.48828,63.86058,63.23032,63.15596,62.67748,62.97365,61.93652,61.66758,57.72434,176.6561,203.54746,176.5983,179.1242,167.64595,138.52943,107.10633,106.43868,105.83613,105.37489,105.15821,105.03884,105.41903,106.74805,105.62075,105.47229,105.3135,101.17881,101.38271,101.70892,102.01707,101.48216,121.55037,106.83676
61.10484,61.31627,60.48388,60.53589,61.51913,64.03558,63.65099,64.86698,64.94839,64.4272,64.29746,62.96661,62.50253,62.0557,62.46726,62.48828,63.86058,63.23032,63.15596,62.67748,62.97365,61.93652,61.66758,57.72434,176.6561,203.54746,176.5983,179.1242,167.64595,138.52943,107.10633,106.43868,105.83613,105.37489,105.15821,105.03884,105.41903,106.74805,105.62075,105.47229,105.3135,101.17881,101.38271,101.70892,102.01707,101.48216,121.55037,106.83676
61.10484,61.31627,60.48388,60.53589,61.51913,64.03558,63.65099,64.86698,64.94839,64.4272,64.29746,62.96661,62.50253,62.0557,62.46726,62.48828,63.86058,63.23032,63.15596,62.67748,62.97365,61.93652,61.66758,57.72434,176.6561,203.54746,176.5983,179.1242,167.64595,138.52943,107.10633,106.43868,105.83613,105.37489,105.15821,105.03884,105.41903,106.74805,105.62075,105.47229,105.3135,101.17881,101.38271,101.70892,102.01707,101.48216,121.55037,106.83676
61.10484,61.31627,60.48388,60.53589,61.51913,64.03558,63.65099,64.86698,64.94839,64.4272,64.29746,62.96661,62.50253,62.0557,62.46726,62.48828,63.86058,63.23032,63.15596,62.67748,62.97365,61.93652,61.66758,57.72434,176.6561,203.54746,176.5983,179.1242,167.64595,138.52943,107.10633,106.43868,105.83613,105.37489,105.15821,105.03884,105.41903,106.74805,105.62075,105.47229,105.3135,101.17881,101.38271,101.70892,102.01707,101.48216,121.55037,106.83676
61.10484,61.31627,60.48388,60.53589,61.51913,64.03558,63.65099,64.86698,64.94839,64.4272,64.29746,62.96661,62.50253,62.0557,62.46726,62.48828,63.86058,63.23032,63.15596,62.67748,62.97365,61.93652,61.66758,57.72434,176.6561,203.54746,176.5983,179.1242,167.64595,138.52943,107.10633,106.43868,105.83613,105.37489,105.15821,105.03884,105.41903,106.74805,105.62075,105.47229,105.3135,101.17881,101.38271,101.70892,102.01707,101.48216,121.55037,106.83676
61.10484,61.31627,60.48388,60.53589,61.51913,64.03558,63.65099,64.86698,64.94839,64.4272,64.29746,62.96661,62.50253,62.0557,62.46726,62.48828,63.86058,63.23032,63.15596,62.67748,62.97365,61.93652,61.66758,57.72434,176.6561,203.54746,176.5983,179.1242,167.64595,138.52943,107.10633,106.43868,105.83613,105.37489,105.15821,105.03884,105.41903,106.74805,105.62075,105.47229,105.3135,101.17881,101.38271,101.70892,102.01707,101.48216,121.55037,106.83676
61.10484,61.31627,60.48388,60.53589,61.51913,64.03558,63.65099,64.86698,64.94839,64.4272,64.29746,62.96661,62.50253,62.0557,62.46726,62.48828,63.86058,63.23032,63.15596,62.67748,62.97365,61.93652,61.66758,57.72434,176.6561,203.54746,176.5983,179.1242,167.64595,138.52943,107.10633,106.43868,105.83613,105.37489,105.15821,105.03884,105.41903,106.74805,105.62075,105.47229,105.3135,101.17881,101.38271,101.70892,102.01707,101.48216,121.55037,106.83676
61.10484,61.31627,60.48388,60.53589,61.51913,64.03558,63.65099,64.86698,64.94839,64.4272,64.29746,62.96661,62.50253,62.0557,62.46726,62.48828,63.86058,63.23032,63.15596,62.67748,62.97365,61.93652,61.66758,57.72434,176.6561,203.54746,176.5983,179.1242,167.64595,138.52943,107.10633,106.43868,105.83613,105.37489,105.15821,105.03884,105.41903,106.74805,105.62075,105.47229,105.3135,101.17881,101.38271,101.70892,102.01707,101.48216,121.55037,106.83676
61.10484,61.31627,60.48388,60.53589,61.51913,64.03558,63.65099,64.86698,64.94839,64.4272,64.29746,62.96661,62.50253,62.0557,62.46726,62.48828,63.86058,63.23032,63.15596,62.67748,62.97365,61.93652,61.66758,57.72434,176.6561,203.54746,176.5983,179.1242,167.64595,138.52943,107.10633,106.43868,105.83613,105.37489,105.15821,105.03884,105.41903,106.74805,105.62075,105.47229,105.3135,101.17881,101.38271,101.70892,102.01707,101.48216,121.55037,106.83676
61.10484,61.31627,60.48388,60.53589,61.51913,64.03558,63.65099,64.86698,64.94839,64.4272,64.29746,62.96661,62.50253,62.0557,62.46726,62.48828,63.86058,63.23032,63.15596,62.67748,62.97365,61.93652,61.66758,57.72434,176.6561,203.54746,176.5983,179.1242,167.64595,138.52943,107.10633,106.43868,105.83613,105.37489,105.15821,105.03884,105.41903,106.74805,105.62075,105.47229,105.3135,101.17881,101.38271,101.70892,102.01707,101.48216,121.55037,106.83676
61.10484,61.31627,60.48388,60.53589,61.51913,64.03558,63.65099,64.86698,64.94839,64.4272,64.29746,62.96661,62.50253,62.0557,62.46726,62.48828,63.86058,63.23032,63.15596,62.67748,62.97365,61.93652,61.66758,57.72434,176.6561,203.54746,176.5983,179.1242,167.64595,138.52943,107.10633,106.43868,105.83613,105.37489,105.15821,105.03884,105.41903,106.74805,105.62075,105.47229,105.3135,101.17881,101.38271,101.70892,102.01707,101.48216,121.55037,106.83676
61.10484,61.31627,60.48388,60.53589,61.51913,64.03558,63.65099,64.86698,64.94839,64.4272,64.29746,62.96661,62.50253,62.0557,62.46726,62.48828,63.86058,63.23032,63.15596,62.67748,62.97365,61.93652,61.66758,57.72434,176.6561,203.54746,176.5983,179.1242,167.64595,138.52943,107.10633,106.43868,105.83613,105.37489,105.15821,105.03884,105.41903,106.74805,105.62075,105.47229,105.3135,101.17881,101.38271,101.70892,102.01707,101.48216,121.55037,106.83676
61.10484,61.31627,60.48388,60.53589,61.51913,64.03558,63.65099,64.86698,64.94839,64.4272,64.29746,62.96661,62.50253,62.0557,62.46726,62.48828,63.86058,63.23032,63.15596,62.67748,62.97365,61.93652,61.66758,57.72434,176.6561,203.54746,176.5983,179.1242,167.64595,138.52943,107.10633,106.43868,105.83613,105.37489,105.15821,105.03884,105.41903,106.74805,105.62075,105.47229,105.3135,101.17881,101.38271,101.70892,102.01707,101.48216,121.55037,106.83676
61.10484,61.31627,60.48388,60.53589,61.51913,64.03558,63.65099,64.86698,64.94839,64.4272,64.29746,62.96661,62.50253,62.0557,62.46726,62.48828,63.86058,63.23032,63.15596,62.67748,62.97365,61.93652,61.66758,57.72434,176.6561,203.54746,176.5983,179.1242,167.64595,138.52943,107.10633,106.43868,105.83613,105.37489,105.15821,105.03884,105.41903,106.74805,105.62075,105.47229,105.3135,101.17881,101.38271,101.70892,102.01707,101.48216,121.55037,106.83676
61.10484,61.31627,60.48388,60.53589,61.51913,64.03558,63.65099,64.86698,64.94839,64.4272,64.29746,62.96661,62.50253,62.0557,62.46726,62.48828,63.86058,63.23032,63.15596,62.67748,62.97365,61.93652,61.66758,57.72434,176.6561,203.54746,176.5983,179.1242,167.64595,138.52943,107.10633,106.43868,105.83613,105.37489,105.15821,105.03884,105.41903,106.74805,105.62075,105.47229,105.3135,101.17881,101.38271,101.70892,102.01707,101.48216,121.55037,106.83676
61.10484,61.31627,60.48388,60.53589,61.51913,64.03558,63.65099,64.86698,64.94839,64.4272,64.29746,62.96661,62.50253,62.0557,62.46726,62.48828,63.86058,63.23032,63.15596,62.67748,62.97365,61.93652,61.66758,57.72434,176.6561,203.54746,176.5983,179.1242,167.64595,138.52943,107.10633,106.43868,105.83613,105.37489,105.15821,105.03884,105.41903,106.74805,105.62075,105.47229,105.3135,101.17881,101.38271,101.70892,102.01707,101.48216,121.55037,106.83676
61.10484,61.31627,60.48388,60.53589,61.51913,64.03558,63.65099,64.86698,64.94839,64.4272,64.29746,62.96661,62.50253,62.0557,62.46726,62.48828,63.86058,63.23032,63.15596,62.67748,62.97365,61.93652,61.66758,57.72434,176.6561,203.54746,176.5983,179.1242,167.64595,138.52943,107.10633,106.43868,105.83613,105.37489,105.15821,105.03884,105.41903,106.74805,105.62075,105.47229,105.3135,101.17881,101.38271,101.70892,102.01707,101.48216,121.55037,106.83676
61.10484,61.31627,60.48388,60.53589,61.51913,64.03558,63.65099,64.86698,64.94839,64.4272,64.29746,62.96661,62.50253,62.0557,62.46726,62.48828,63.86058,63.23032,63.15596,62.67748,62.97365,61.93652,61.66758,57.72434,176.6561,203.54746,176.5983,179.1242,167.64595,138.52943,107.10633,106.43868,105.83613,105.37489,105.15821,105.03884,105.41903,106.74805,105.62075,105.47229,105.3135,101.17881,101.38271,101.70892,102.01707,101.48216,121.55037,106.83676
61.10484,61.31627,60.48388,60.53589,61.51913,64.03558,63.65099,64.86698,64.94839,64.4272,64.29746,62.96661,62.50253,62.0557,62.46726,62.48828,63.86058,63.23032,63.15596,62.67748,62.97365,61.93652,61.66758,57.72434,176.6561,203.54746,176.5983,179.1242,167.64595,138.52943,107.10633,106.43868,105.83613,105.37489,105.15821,105.03884,105.41903,106.74805,105.62075,105.47229,105.3135,101.17881,101.38271,101.70892,102.01707,101.48216,121.55037,106.83676
61.10484,61.31627,60.48388,60.53589,61.51913,64.03558,63.65099,64.86698,64.94839,64.4272,64.29746,62.96661,62.50253,62.0557,62.46726,62.48828,63.86058,63.23032,63.15596,62.67748,62.97365,61.93652,61.66758,57.72434,176.6561,203.54746,176.5983,179.1242,167.64595,138.52943,107.10633,106.43868,105.83613,105.37489,105.15821,105.03884,105.41903,106.74805,105.62075,105.47229,105.3135,101.17881,101.38271,101.70892,102.01707,101.48216,121.55037,106.83676
61.10484,61.31627,60.48388,60.53589,61.51913,64.03558,63.65099,64.86698,64.94839,64.4272,64.29746,62.96661,62.50253,62.0557,62.46726,62.48828,63.86058,63.23032,63.15596,62.67748,62.97365,61.93652,61.66758,57.72434,176.6561,203.54746,176.5983,179.1242,167.64595,138.52943,107.10633,106.43868,105.83613,105.37489,105.15821,105.03884,105.41903,106.74805,105.62075,105.47229,105.3135,101.17881,101.38271,101.70892,102.01707,101.48216,121.55037,106.83676
61.10484,61.31627,60.48388,60.53589,61.51913,64.03558,63.65099,64.86698,64.94839,64.4272,64.29746,62.96661,62.50253,62.0557,62.46726,62.48828,63.86058,63.23032,63.15596,62.67748,62.97365,61.93652,61.66758,57.72434,176.6561,203.54746,176.5983,179.1242,167.64595,138.52943,107.10633,106.43868,105.83613,105.37489,105.15821,105.03884,105.41903,106.74805,105.62075,105.47229,105.3135,101.17881,101.38271,101.70892,102.01707,101.48216,121.55037,106.83676
61.10484,61.31627,60.48388,60.53589,61.51913,64.03558,63.65099,64.86698,64.94839,64.4272,64.29746,62.96661,62.50253,62.0557,62.46726,62.48828,63.86058,63.23032,63.15596,62.67748,62.97365,61.93652,61.66758,57.72434,176.6561,203.54746,176.5983,179.1242,167.64595,138.52943,107.10633,106.43868,105.83613,105.37489,105.15821,105.03884,105.41903,106.74805,105.62075,105.47229,105.3135,101.17881,101.38271,101.70892,102.01707,101.48216,121.55037,106.83676
61.10484,61.31627,60.48388,60.53589,61.51913,64.03558,63.65099,64.86698,64.94839,64.4272,64.29746,62.96661,62.50253,62.0557,62.46726,62.48828,63.86058,63.23032,63.15596,62.67748,62.97365,61.93652,61.66758,57.72434,176.6561,203.54746,176.5983,179.1242,167.64595,138.52943,107.10633,106.43868,105.83613,105.37489,105.15821,105.03884,105.41903,106.74805,105.62075,105.47229,105.3135,101.17881,101.38271,101.70892,102.01707,101.48216,121.55037,106.83676
61.10484,61.31627,60.48388,60.53589,61.51913,64.03558,63.65099,64.86698,64.94839,64.4272,64.29746,62.96661,62.50253,62.0557,62.46726,62.48828,63.86058,63.23032,63.15596,62.67748,62.97365,61.93652,61.66758,57.72434,176.6561,203.54746,176.5983,179.1242,167.64595,138.52943,107.10633,106.43868,105.83613,105.37489,105.15821,105.03884,105.41903,106.74805,105.62075,105.47229,105.3135,101.17881,101.38271,101.70892,102.01707,101.48216,121.55037,106.83676
